D (RFF dim),Train MSE,Test MSE,Epochs,Time (s),CPU ΔMB,CPU Peak (MB),GPU peak MB
16,0.5300445124650996,3.0768261124594347,832,8.358386993408203,2.3125,2.3125,
32,0.5759534634482131,1.7028060514112155,1000,11.2308189868927,-4.609375,0.859375,
48,0.4796703434506134,2.0423305619956778,1000,12.15294599533081,-22.5625,0.59375,
64,0.47924877704871444,1.8316100153788741,1000,11.73844027519226,1.25,1.25,
80,0.4544952693962117,1.9193569010098268,1000,12.090277194976807,0.9375,1.015625,
96,0.4963007923808669,2.0540056486501608,1000,12.556682109832764,-3.859375,1.265625,
112,0.487102008247107,2.7018876235086036,1000,13.111284971237183,0.625,0.625,
128,0.46422848221808477,2.203224317187033,1000,12.7121741771698,0.625,0.625,
144,0.4958054051393373,1.8174412426374154,1000,14.71895980834961,1.96875,1.96875,
160,0.4269100473942018,2.118736548875673,1000,14.419500827789307,0.5625,0.5625,
176,0.42697941579715776,1.8403638130920998,1000,16.94463586807251,1.6875,1.6875,
192,0.4753422479536381,1.807080029868962,1000,18.062053203582764,1.921875,1.921875,
208,0.48876059807514627,2.2307590402174244,1000,19.105721950531006,0.3125,0.765625,
224,0.5057174311085886,2.181962843026628,1000,18.02326989173889,2.078125,2.078125,
240,0.46329011668520625,2.1165429993749045,1000,20.587626934051514,-7.09375,2.546875,
256,0.4729186373200794,2.261890556104045,1000,21.95340633392334,0.546875,0.6875,
272,0.47125745625233373,1.982430063920728,1000,20.164552927017212,0.59375,0.59375,
288,0.45137395326671187,2.1021908049392555,1000,21.76615595817566,0.65625,0.65625,
304,0.5017749185431898,2.0525615567726416,1000,22.18742609024048,2.34375,2.34375,
