D,MLKM_train,MLKM_test,MLKM_epochs,MLKM_time,RKN_train,RKN_test,RKN_epochs,RKN_time
16,0.9235470294952393,1.058266282081604,1000,129.5848262310028,0.11328275501728058,1.1785483360290527,1000,467.95662808418274
32,0.8793187737464905,1.0163869857788086,1000,141.17554306983948,0.11701497435569763,1.1860467195510864,1000,468.59189796447754
48,0.9077203869819641,1.0258891582489014,1000,168.35288906097412,0.1197129338979721,1.1754789352416992,1000,477.51967000961304
64,0.8372435569763184,0.965614914894104,1000,189.14172196388245,0.11873861402273178,1.174455165863037,1000,506.0718810558319
80,0.8662433624267578,0.990455150604248,1000,222.13020706176758,0.11760447174310684,1.1718757152557373,1000,532.2469398975372
96,0.8135632276535034,0.9313069581985474,1000,277.808531999588,0.11748530715703964,1.17097008228302,1000,534.4585897922516
112,0.8319054841995239,0.9511982202529907,1000,276.04061102867126,0.12108971178531647,1.169609546661377,1000,530.6298131942749
128,0.803154706954956,0.9355660080909729,1000,327.1480362415314,0.1223904937505722,1.1706653833389282,1000,625.5935277938843
144,0.8182564377784729,0.9333171248435974,1000,359.5662610530853,0.12185776978731155,1.1718651056289673,1000,622.0547430515289
160,0.7924849987030029,0.9147488474845886,1000,369.27520990371704,0.12152756005525589,1.1775763034820557,1000,734.8064179420471
176,0.800774335861206,0.9112011194229126,1000,496.543842792511,0.11237223446369171,1.177899718284607,1000,767.6176979541779
192,0.8173766136169434,0.9319325089454651,1000,544.457447052002,0.12355227023363113,1.171207070350647,1000,746.6608130931854
208,0.8563792705535889,0.976646363735199,1000,599.1370060443878,0.11315233260393143,1.1898726224899292,1000,767.0993559360504
224,0.806466281414032,0.916131854057312,1000,603.8542308807373,0.11216068267822266,1.1879899501800537,1000,784.8277180194855
240,0.8396074175834656,0.9517377614974976,1000,502.0224280357361,0.12186795473098755,1.1671509742736816,1000,703.4439368247986
256,0.7624091506004333,0.8878093957901001,1000,528.843288898468,0.11883752048015594,1.1757265329360962,1000,641.0773727893829
272,0.8144502639770508,0.9163658022880554,1000,585.973799943924,0.12049946188926697,1.1797142028808594,1000,623.622798204422
288,0.774567723274231,0.8997963666915894,1000,513.7405729293823,0.12468534708023071,1.157762885093689,1000,586.4252760410309
304,0.8080564737319946,0.9334832429885864,1000,541.4878149032593,0.11427663266658783,1.182360291481018,1000,948.8458743095398
320,0.8031772971153259,0.9161260724067688,1000,930.8603279590607,0.12782898545265198,1.166476845741272,1000,995.6971809864044
