Hidden Config,Method,Train MSE,Test MSE,Epochs,Time (s),CPU Δ (MB),CPU Peak (MB),Best D,Conformal Coverage,Conformal Avg Len
"(32,64,16)",DNN,0.17808900971535355,1.498601527784511,1000,7.324068784713745,0.0,0.078125,,0.5768390386016023,1.9525868591308608
"(32,64,16)",ResNet,0.18916349735685725,1.5271751958173148,1000,10.27225399017334,0.09375,0.09375,,0.5928623452294246,2.024053619384766
"(32,64,16)",DKL,0.08436301066547508,2.5849192054512495,300,6.407368898391724,36.578125,36.578125,,,
"(32,64,16)",DGP,0.17170034420740637,2.3304834408975137,1000,237.96092200279236,139.484375,139.484375,,,
"(32,64,16)",MLKM,1.071552956680455,2.413030516313144,1000,10.035579919815063,-10.5,0.0625,32.0,0.8419519300801165,4.39114135131836
"(32,64,16)",ResKernelNet,0.3372356036316522,1.1729143567099527,524,7.272485971450806,-66.796875,0.03125,112.0,0.7356154406409323,2.2505164184570314
"(32,128,32)",DNN,0.1803807950297774,1.386843161271471,1000,13.726225852966309,-0.25,0.5625,,0.6467589220684632,1.9677248840332027
"(32,128,32)",ResNet,0.15914839462516514,1.433738915458245,1000,13.542557954788208,0.28125,0.375,,0.5593590677348871,1.856979071044918
"(32,128,32)",DKL,0.07647039007307284,2.912536311911515,300,13.506550073623657,44.875,45.734375,,,
"(32,128,32)",DGP,0.17170034420740637,2.3304834408975137,1000,195.24985194206238,-21.6875,57.71875,,,
"(32,128,32)",MLKM,0.9344367175600032,2.0603367071916603,1000,9.938452005386353,2.265625,3.15625,32.0,0.8404952658412236,4.066726135253909
"(32,128,32)",ResKernelNet,0.32465288780012386,1.1477735454265798,524,8.05277419090271,0.0625,0.0625,128.0,0.7152221412964311,2.2083229431152347
"(32,128,16)",DNN,0.19133992251948256,1.240450037889759,1000,7.5361011028289795,0.09375,0.4375,,0.6919155134741443,2.0315955749511687
"(32,128,16)",ResNet,0.18664814927501883,1.470328907799745,1000,11.110819101333618,0.328125,0.328125,,0.6161689730517116,2.0395412841796845
"(32,128,16)",DKL,0.13561207426716002,2.571947208118713,300,6.0567381381988525,39.09375,39.09375,,,
"(32,128,16)",DGP,0.17170034420740637,2.3304834408975137,1000,209.67920589447021,-51.90625,50.5625,,,
"(32,128,16)",MLKM,0.935310898441521,2.140318118065479,1000,10.145470142364502,3.421875,3.46875,32.0,0.8404952658412236,4.191840438842775
"(32,128,16)",ResKernelNet,0.3236897205776903,1.1642874731622714,524,7.923127889633179,-0.09375,0.21875,128.0,0.7174071376547706,2.220643103027342
"(64,128,16)",DNN,0.1512353089517195,1.2526269761801638,1000,8.289214849472046,1.0625,1.0625,,0.6445739257101238,1.9606623168945347
"(64,128,16)",ResNet,0.1588363892606118,1.3781752467661144,1000,12.336874008178711,0.265625,0.375,,0.6212672978878369,2.052091516113279
"(64,128,16)",DKL,0.1837407276104461,4.88665070822497,300,6.504954099655151,46.203125,46.203125,,,
"(64,128,16)",DGP,0.17170034420740637,2.3304834408975137,1000,230.5776379108429,203.890625,203.890625,,,
"(64,128,16)",MLKM,0.895192218455257,2.0712786716530465,1000,10.145255088806152,1.953125,1.984375,32.0,0.8361252731245448,4.0877373901367235
"(64,128,16)",ResKernelNet,0.2598309134388194,1.2144610697667477,1000,113.80133700370789,0.03125,0.03125,256.0,0.663510560815732,2.2195717224121125
"(64,128,32)",DNN,0.16198321817348302,1.4498115662437783,1000,812.4032669067383,-0.421875,0.875,,0.5957756737072105,1.9549127197265646
"(64,128,32)",ResNet,0.1632953827581184,1.4054941382867596,1000,817.0687527656555,0.203125,0.203125,,0.5804806991988347,1.8701297668457073
"(64,128,32)",DKL,0.18036316374407407,5.319989056547229,300,91.26640915870667,42.609375,45.53125,,,
"(64,128,32)",DGP,0.17170034420740637,2.3304834408975137,1000,3611.0238740444183,-50.4375,47.828125,,,
"(64,128,32)",MLKM,0.8772359011759121,1.9740940403169138,1000,10.155210018157959,3.4375,3.46875,32.0,0.844136926438456,4.01522244262695
"(64,128,32)",ResKernelNet,0.2562815948828553,1.1505161366556005,739,10.969752073287964,0.515625,0.515625,64.0,0.6576839038601602,2.118530395507811
"(16,32,16)",DNN,0.24041781618369917,1.3766259421614218,1000,4.3964128494262695,-1.65625,0.78125,,0.7064821558630736,2.131446157836919
"(16,32,16)",ResNet,0.23393585752027038,1.4252843773555508,1000,6.114248037338257,-1.890625,0.640625,,0.6722505462490895,2.0666730102539077
"(16,32,16)",DKL,0.19494595384126434,2.495991114502121,300,4.2651989459991455,46.84375,46.84375,,,
"(16,32,16)",DGP,0.17170034420740637,2.3304834408975137,1000,125.73075008392334,-59.546875,36.453125,,,
"(16,32,16)",MLKM,1.2767216606149618,3.0399420590949062,1000,6.795680046081543,-191.921875,1.96875,32.0,0.8470502549162418,4.70665872192383
"(16,32,16)",ResKernelNet,0.33194812555985587,1.1280385430934063,759,6.92153000831604,1.484375,1.5,240.0,0.7479970866715222,2.3003126220703156
"(16,64,32)",DNN,0.21511170601167776,1.3200082295907736,1000,5.239514112472534,-17.4375,0.484375,,0.6846321922796795,2.1143109069824253
