D (RFF dim),Train MSE,Test MSE,Epochs,Time (s),CPU ΔMB,CPU Peak (MB),GPU peak MB
16,1.6957294309260122,8.796408128215845,1000,6.200699806213379,0.203125,0.296875,
32,1.071552956680455,2.413030516313144,1000,7.18461799621582,0.109375,0.109375,
48,0.9040196882991948,2.742510168461788,1000,7.276518106460571,-0.734375,0.109375,
64,8.166218321507548,22.95759396033785,175,1.585911750793457,-31.15625,0.0625,
80,0.9358419995501317,3.190301041577113,1000,8.280634880065918,0.0625,0.0625,
96,0.9311721894491132,3.4558397824297935,1000,8.401859998703003,0.171875,0.171875,
112,0.8776597404805764,5.178434443698948,1000,8.922450065612793,-0.71875,0.03125,
128,1.0836527421871684,5.965766706381392,1000,9.832947015762329,-22.765625,0.109375,
144,1.28443736303558,5.371989687883445,1000,10.796592235565186,1.625,1.75,
160,1.4669224508633807,6.066418346095021,1000,11.322423934936523,0.609375,0.609375,
176,2.611034678045021,7.4460311157616035,1000,11.712626934051514,0.453125,0.59375,
192,8.170214274404682,22.94336704356117,109,1.629767894744873,0.78125,0.78125,
208,1.4808714079268812,5.0234021594901295,1000,14.06001901626587,-9.671875,0.578125,
224,8.167960472378798,22.010517267700106,98,1.459986925125122,0.703125,0.703125,
240,2.804308850327709,7.5112809286306215,1000,14.343848943710327,-97.65625,0.984375,
256,8.17197395865707,21.90952904719994,122,2.1739368438720703,2.625,2.625,
272,8.168313132431987,21.890455427553633,151,2.733023166656494,0.875,0.90625,
288,8.170098931820531,22.975907338706907,265,4.412200927734375,1.859375,1.859375,
304,7.952004882410287,21.520022172009767,1000,15.297038078308105,0.921875,0.921875,
