D,MLKM_train,MLKM_test,MLKM_interval,MLKM_ep,ResKernelNet_train,ResKernelNet_test,ResKernelNet_interval,ResKernelNet_ep
32,0.011990944854915142,0.013080472126603127,0.43111419677734375,144,0.01240492518991232,0.013971097767353058,0.4418102502822876,291
64,0.01157173328101635,0.011522937566041946,0.42072296142578125,95,0.01109660230576992,0.012106910347938538,0.41374194622039795,148
96,0.011867537163197994,0.012925863265991211,0.41128110885620117,94,0.011018150486052036,0.011321945115923882,0.4143352508544922,89
128,0.011309927329421043,0.011487682349979877,0.4194009304046631,60,0.011602246202528477,0.012623350135982037,0.4171513319015503,106
160,0.010421114973723888,0.011382203549146652,0.40418314933776855,146,0.011315596289932728,0.011505103670060635,0.41715145111083984,139
192,0.010481540113687515,0.010788231156766415,0.4017774760723114,101,0.011336278170347214,0.011485927738249302,0.40839383006095886,67
224,0.010938209481537342,0.011169586330652237,0.40834128856658936,150,0.012869739904999733,0.01411289069801569,0.4461907744407654,74
256,0.01069554127752781,0.010979797691106796,0.40371936559677124,107,0.012508200481534004,0.01261491421610117,0.4267346262931824,78
288,0.01067298837006092,0.01171957142651081,0.4145352244377136,121,0.01208954956382513,0.01214685570448637,0.424619197845459,105
320,0.010558991692960262,0.011628811247646809,0.4048292636871338,198,0.011232195422053337,0.011497772298753262,0.40450406074523926,137
352,0.011264516972005367,0.01131185982376337,0.40015411376953125,67,0.010691910982131958,0.011712459847331047,0.4087580442428589,136
384,0.010291819460690022,0.010703125037252903,0.3856782913208008,78,0.01136726513504982,0.012527892366051674,0.41812369227409363,95
416,0.010414213873445988,0.01073084119707346,0.389908105134964,80,0.010813940316438675,0.011135084554553032,0.39418649673461914,120
448,0.01048031821846962,0.010883043520152569,0.39385586977005005,180,0.010757234878838062,0.011823602952063084,0.4116494655609131,184
480,0.010570758953690529,0.011591299436986446,0.39457422494888306,80,0.011746751144528389,0.012880303896963596,0.4296121895313263,61
512,0.011559324339032173,0.011592086404561996,0.4157590866088867,115,0.010756498202681541,0.011642332188785076,0.4127984941005707,75
