n,D,test_mse,interval
200,32,0.03892866522073746,0.6882816553115845
200,64,0.010387522168457508,0.3895453214645386
200,96,0.009689657017588615,0.4178050756454468
200,128,0.006840487010776997,0.30519384145736694
200,160,0.008681364357471466,0.37628668546676636
200,192,0.007916145958006382,0.34683364629745483
200,224,0.009149627760052681,0.406130313873291
200,256,0.009989513084292412,0.40298736095428467
200,288,0.010430245660245419,0.38209325075149536
200,320,0.010330558754503727,0.4135134220123291
200,352,0.012182909063994884,0.44001126289367676
200,384,0.011805539019405842,0.45836925506591797
200,416,0.009690883569419384,0.4114695191383362
200,448,0.010946661233901978,0.44538748264312744
200,480,0.011200521141290665,0.44054967164993286
200,512,0.010183448903262615,0.41315364837646484
500,32,0.010388422757387161,0.3711619973182678
500,64,0.0031673049088567495,0.21230864524841309
500,96,0.003677584230899811,0.2368975132703781
500,128,0.003162064589560032,0.193535715341568
500,160,0.003164758440107107,0.225469708442688
500,192,0.0032025461550801992,0.2078319787979126
500,224,0.00237883604131639,0.19341540336608887
500,256,0.0035076355561614037,0.2214120626449585
500,288,0.0030221587512642145,0.2226710319519043
500,320,0.003270910819992423,0.21944153308868408
500,352,0.00371847627684474,0.226615309715271
500,384,0.0034060445614159107,0.2259015589952469
500,416,0.0031653400510549545,0.21018901467323303
500,448,0.002869920339435339,0.20633822679519653
500,480,0.0031656709033995867,0.21952968835830688
500,512,0.003404251066967845,0.22174951434135437
1000,32,0.007079647853970528,0.3363938331604004
1000,64,0.0032808121759444475,0.2375655174255371
1000,96,0.0026955818757414818,0.1971590518951416
1000,128,0.0021983131300657988,0.17558789253234863
1000,160,0.002011887263506651,0.15912111103534698
1000,192,0.00243318360298872,0.18664896488189697
1000,224,0.0027463275473564863,0.1964753270149231
1000,256,0.002236374653875828,0.1712055206298828
1000,288,0.0023548316676169634,0.1942659616470337
1000,320,0.002067307010293007,0.1782064437866211
1000,352,0.0017375994939357042,0.15527677536010742
1000,384,0.0021646758541464806,0.18321001529693604
1000,416,0.001992045436054468,0.1806899905204773
1000,448,0.002321974840015173,0.18536227941513062
1000,480,0.0023942706175148487,0.185033917427063
1000,512,0.00251209968701005,0.19628149271011353
2000,32,0.004961170256137848,0.2158820629119873
2000,64,0.0018416474340483546,0.16679143905639648
2000,96,0.0031041207257658243,0.20996856689453125
2000,128,0.0019584400579333305,0.17122924327850342
2000,160,0.001996327191591263,0.16377520561218262
2000,192,0.002042814390733838,0.16733217239379883
2000,224,0.0013984341640025377,0.14783978462219238
2000,256,0.001640345435589552,0.14684641361236572
2000,288,0.0020148681942373514,0.17576086521148682
2000,320,0.0016648165183141828,0.14471769332885742
2000,352,0.0018247422995045781,0.16203291714191437
2000,384,0.0014273531269282103,0.14779093861579895
2000,416,0.0017000656807795167,0.17056012153625488
2000,448,0.0014535454101860523,0.14730492234230042
2000,480,0.0017031392781063914,0.1687200665473938
2000,512,0.001608646591193974,0.15935063362121582
4000,32,0.0021538303699344397,0.18451464176177979
4000,64,0.001596293062902987,0.15725553035736084
4000,96,0.0019262381829321384,0.14642083644866943
4000,128,0.001323231728747487,0.14475798606872559
4000,160,0.001150393974967301,0.1294683814048767
4000,192,0.0012212052242830396,0.13992810249328613
4000,224,0.0014177494449540973,0.13280057907104492
4000,256,0.0024619970936328173,0.16282474994659424
4000,288,0.0014137354446575046,0.1276702731847763
4000,320,0.001294353511184454,0.12936758995056152
4000,352,0.001453087548725307,0.1483452320098877
4000,384,0.0022508548572659492,0.16644904017448425
4000,416,0.0011931604240089655,0.14082872867584229
4000,448,0.001405032817274332,0.1426534652709961
4000,480,0.001556991832330823,0.14047694206237793
4000,512,0.0012733197072520852,0.13901543617248535
6000,32,0.002252354519441724,0.1873791217803955
6000,64,0.0008729291148483753,0.11441993713378906
6000,96,0.0017447666032239795,0.15342259407043457
6000,128,0.001137302489951253,0.12205541133880615
6000,160,0.0015143239870667458,0.1357588768005371
6000,192,0.0011347827967256308,0.11908841133117676
6000,224,0.0016148206777870655,0.14933133125305176
6000,256,0.0009586403612047434,0.11340844631195068
6000,288,0.00103465816937387,0.11591053009033203
6000,320,0.0009023641468957067,0.11601591110229492
6000,352,0.0010671763448044658,0.12386107444763184
6000,384,0.001242081169039011,0.13457489013671875
6000,416,0.0009528051014058292,0.1219707727432251
6000,448,0.0007904808153398335,0.11164863407611847
6000,480,0.0010351110249757767,0.11292528361082077
6000,512,0.0014713444979861379,0.1472153663635254
8000,32,0.0022118729539215565,0.18743252754211426
8000,64,0.00152707623783499,0.15110349655151367
8000,96,0.002184460172429681,0.17347359657287598
8000,128,0.0009120272006839514,0.1192789077758789
8000,160,0.001234279596246779,0.13445603847503662
8000,192,0.0010503778466954827,0.11279654502868652
8000,224,0.0013956810580566525,0.14208340644836426
8000,256,0.0008373621967621148,0.10607337951660156
8000,288,0.0008538663387298584,0.11022677272558212
8000,320,0.0012425777968019247,0.12176575511693954
8000,352,0.0009923918405547738,0.12767183780670166
8000,384,0.0014465380227193236,0.13304924964904785
8000,416,0.0014654591213911772,0.13537311553955078
8000,448,0.0011752505088225007,0.12236207723617554
8000,480,0.0009646331309340894,0.11726735532283783
8000,512,0.0009963347110897303,0.12983298301696777
