n,D,test_mse,interval
200,32,0.2209564745426178,2.0186142921447754
200,64,0.2130352109670639,1.9669101238250732
200,96,0.20834629237651825,1.8987230062484741
200,128,0.21184542775154114,1.9286179542541504
200,160,0.2142944037914276,1.9394539594650269
200,192,0.2270316481590271,1.938727855682373
200,224,0.22058939933776855,1.9611797332763672
200,256,0.22758689522743225,2.0245325565338135
200,288,0.21954604983329773,1.9817757606506348
200,320,0.22692929208278656,2.061858654022217
200,352,0.2282821089029312,2.096470832824707
200,384,0.2249007523059845,2.0702521800994873
200,416,0.2198060303926468,1.9847428798675537
200,448,0.22358214855194092,2.0261714458465576
200,480,0.2223747968673706,2.1011829376220703
200,512,0.22426480054855347,2.0712430477142334
500,32,0.1991722583770752,1.7955156564712524
500,64,0.19983389973640442,1.809645175933838
500,96,0.2054079920053482,1.8093249797821045
500,128,0.20254036784172058,1.7809643745422363
500,160,0.20725944638252258,1.891972303390503
500,192,0.20526787638664246,1.813811182975769
500,224,0.20312674343585968,1.7901058197021484
500,256,0.20304779708385468,1.8359185457229614
500,288,0.20699776709079742,1.845374345779419
500,320,0.20847320556640625,1.868788242340088
500,352,0.20265567302703857,1.8202418088912964
500,384,0.21255001425743103,1.8912296295166016
500,416,0.2079104483127594,1.8550138473510742
500,448,0.20486892759799957,1.8860458135604858
500,480,0.20345714688301086,1.8075532913208008
500,512,0.20847000181674957,1.9031299352645874
1000,32,0.1973753422498703,1.844961166381836
1000,64,0.19502167403697968,1.8262503147125244
1000,96,0.19528186321258545,1.8283264636993408
1000,128,0.19305315613746643,1.8262767791748047
1000,160,0.18541952967643738,1.8232929706573486
1000,192,0.19324609637260437,1.8320587873458862
1000,224,0.1923525333404541,1.8252816200256348
1000,256,0.19178923964500427,1.8163806200027466
1000,288,0.19485987722873688,1.8111627101898193
1000,320,0.18543057143688202,1.792958378791809
1000,352,0.1878703236579895,1.798931360244751
1000,384,0.1821528673171997,1.8730661869049072
1000,416,0.19097088277339935,1.8104186058044434
1000,448,0.19398126006126404,1.85214364528656
1000,480,0.19524841010570526,1.857245922088623
1000,512,0.1931571364402771,1.826197862625122
2000,32,0.18349657952785492,1.7704718112945557
2000,64,0.18661974370479584,1.8160395622253418
2000,96,0.1873784214258194,1.7614238262176514
2000,128,0.1834583282470703,1.7697889804840088
2000,160,0.17883510887622833,1.7638577222824097
2000,192,0.18198435008525848,1.8048131465911865
2000,224,0.174808070063591,1.7856779098510742
2000,256,0.1781259924173355,1.7533503770828247
2000,288,0.18015378713607788,1.7395079135894775
2000,320,0.1763933151960373,1.77500319480896
2000,352,0.176707923412323,1.854527473449707
2000,384,0.17400820553302765,1.8147374391555786
2000,416,0.1753384917974472,1.7571969032287598
2000,448,0.1802196353673935,1.8184542655944824
2000,480,0.1791340410709381,1.7409359216690063
2000,512,0.1706342101097107,1.7494276762008667
4000,32,0.17164890468120575,1.7188365459442139
4000,64,0.17793157696723938,1.7545230388641357
4000,96,0.1574694961309433,1.668919324874878
4000,128,0.1547425389289856,1.7037993669509888
4000,160,0.16403213143348694,1.7378326654434204
4000,192,0.16630424559116364,1.7270786762237549
4000,224,0.14453718066215515,1.60789155960083
4000,256,0.15213315188884735,1.726264238357544
4000,288,0.14479143917560577,1.609649658203125
4000,320,0.16394372284412384,1.7590464353561401
4000,352,0.1567029356956482,1.6472573280334473
4000,384,0.16396458446979523,1.751683235168457
4000,416,0.16504019498825073,1.7186030149459839
4000,448,0.1669003665447235,1.7446691989898682
4000,480,0.16639184951782227,1.7115247249603271
4000,512,0.1545863300561905,1.698706865310669
6000,32,0.17256416380405426,1.7633545398712158
6000,64,0.13128702342510223,1.5409008264541626
6000,96,0.13650357723236084,1.635614037513733
6000,128,0.16057778894901276,1.703064203262329
6000,160,0.14019745588302612,1.702265977859497
6000,192,0.12060198187828064,1.4821052551269531
6000,224,0.12544867396354675,1.4834331274032593
6000,256,0.12833575904369354,1.5030410289764404
6000,288,0.1149357333779335,1.490398645401001
6000,320,0.15735498070716858,1.6982216835021973
6000,352,0.16498053073883057,1.7404654026031494
6000,384,0.16380205750465393,1.756714105606079
6000,416,0.16432824730873108,1.7087814807891846
6000,448,0.16255035996437073,1.7256572246551514
6000,480,0.1669873595237732,1.7269822359085083
6000,512,0.1385343074798584,1.6933894157409668
8000,32,0.16044797003269196,1.6568446159362793
8000,64,0.15056683123111725,1.6496639251708984
8000,96,0.1301397979259491,1.4914908409118652
8000,128,0.12031754851341248,1.513119101524353
8000,160,0.11779199540615082,1.5003234148025513
8000,192,0.1557615101337433,1.7008395195007324
8000,224,0.11812848597764969,1.4949663877487183
8000,256,0.1302001178264618,1.5062305927276611
8000,288,0.15866035223007202,1.732072353363037
8000,320,0.1410096138715744,1.682167410850525
8000,352,0.15236055850982666,1.6628055572509766
8000,384,0.13671459257602692,1.5475388765335083
8000,416,0.16063012182712555,1.7513175010681152
8000,448,0.16479502618312836,1.7331478595733643
8000,480,0.16458313167095184,1.7772541046142578
8000,512,0.12918289005756378,1.5342535972595215
