nu,n,D,test_mse,interval
0.5,200,32,0.163406640291214,1.6945946216583252
0.5,200,64,0.3745664060115814,2.2678823471069336
0.5,200,96,0.35888826847076416,2.3214738368988037
0.5,200,128,0.6542777419090271,3.292921543121338
0.5,200,160,0.07986726611852646,1.3726341724395752
0.5,200,192,0.5729202628135681,3.8117456436157227
0.5,200,224,0.020708268508315086,0.5944805145263672
0.5,200,256,0.022382481023669243,0.6440465450286865
0.5,200,288,0.02908509038388729,0.6547725200653076
0.5,200,320,0.1225937157869339,1.2955197095870972
0.5,200,352,0.017662737518548965,0.5738992691040039
0.5,200,384,0.5952872633934021,3.7883424758911133
0.5,200,416,0.5508961081504822,3.4262855052948
0.5,200,448,0.029022114351391792,0.7766371965408325
0.5,200,480,0.5510700941085815,3.4351892471313477
0.5,200,512,0.6139299273490906,3.8453526496887207
0.5,500,32,0.04798399284482002,0.8865295648574829
0.5,500,64,0.023144179955124855,0.6307352781295776
0.5,500,96,0.040941644459962845,0.8221590518951416
0.5,500,128,0.03831242024898529,0.748187780380249
0.5,500,160,0.3724018633365631,2.025709390640259
0.5,500,192,0.5508490204811096,3.4459545612335205
0.5,500,224,0.042360130697488785,1.013648509979248
0.5,500,256,0.012305691838264465,0.43869924545288086
0.5,500,288,0.025270098820328712,0.6891283988952637
0.5,500,320,0.008971902541816235,0.4182155132293701
0.5,500,352,0.008155126124620438,0.41614580154418945
0.5,500,384,0.550767719745636,3.4508461952209473
0.5,500,416,0.012102611362934113,0.3799452781677246
0.5,500,448,0.02095118723809719,0.5974740982055664
0.5,500,480,0.0032162016723304987,0.23506486415863037
0.5,500,512,0.004614001139998436,0.2910923957824707
0.5,1000,32,0.04711242765188217,0.9161641597747803
0.5,1000,64,0.027189793065190315,0.7111607789993286
0.5,1000,96,0.1728440225124359,1.9663234949111938
0.5,1000,128,0.5565786957740784,3.6371803283691406
0.5,1000,160,0.009433322586119175,0.39893102645874023
0.5,1000,192,0.22968433797359467,1.9330170154571533
0.5,1000,224,0.1003301665186882,1.3829785585403442
0.5,1000,256,0.0020674122497439384,0.18468642234802246
0.5,1000,288,0.0046075740829110146,0.2604811191558838
0.5,1000,320,0.010387781076133251,0.38673514127731323
0.5,1000,352,0.0051139164716005325,0.33576178550720215
0.5,1000,384,0.5506213903427124,3.462585926055908
0.5,1000,416,0.03732642903923988,0.7429670095443726
0.5,1000,448,0.007026019040495157,0.32752013206481934
0.5,1000,480,0.00414620665833354,0.28100574016571045
0.5,1000,512,0.0008064997964538634,0.11672401428222656
0.5,2000,32,0.033980824053287506,0.7347326278686523
0.5,2000,64,0.0017155936220660806,0.16599583625793457
0.5,2000,96,0.0036269964184612036,0.2299671173095703
0.5,2000,128,0.163565531373024,1.6739308834075928
0.5,2000,160,0.9260780215263367,2.7628326416015625
0.5,2000,192,0.5638779401779175,3.712702989578247
0.5,2000,224,0.048357851803302765,0.8918285369873047
0.5,2000,256,0.001766902394592762,0.16830086708068848
0.5,2000,288,0.019661590456962585,0.5860691070556641
0.5,2000,320,0.0046860575675964355,0.2873866558074951
0.5,2000,352,0.006557982414960861,0.35289323329925537
0.5,2000,384,0.0015185087686404586,0.1593763828277588
0.5,2000,416,0.5603216290473938,3.2837424278259277
0.5,2000,448,0.002135946648195386,0.1942896842956543
0.5,2000,480,0.09009547531604767,1.1723629236221313
0.5,2000,512,0.5109906792640686,3.5781209468841553
0.5,4000,32,0.042100321501493454,0.8129901885986328
0.5,4000,64,0.0015500860754400492,0.15823841094970703
0.5,4000,96,0.02630886808037758,0.6771843433380127
0.5,4000,128,0.04909596964716911,0.9985921382904053
0.5,4000,160,0.00859815813601017,0.43137693405151367
0.5,4000,192,0.5564419031143188,3.6354119777679443
0.5,4000,224,0.005035185255110264,0.29918527603149414
0.5,4000,256,0.001075455453246832,0.13632488250732422
0.5,4000,288,0.038874395191669464,0.7159068584442139
0.5,4000,320,0.004012642428278923,0.2682260274887085
0.5,4000,352,0.0033920684363693,0.2620730400085449
0.5,4000,384,0.4464811682701111,2.6597394943237305
0.5,4000,416,0.009142096154391766,0.35788655281066895
0.5,4000,448,0.03231281787157059,0.7103240489959717
0.5,4000,480,0.0033695546444505453,0.25533151626586914
0.5,4000,512,0.005287164822220802,0.30420351028442383
0.5,6000,32,0.029685549437999725,0.7300858497619629
0.5,6000,64,0.005833698436617851,0.3248293399810791
0.5,6000,96,0.07929940521717072,1.1889410018920898
0.5,6000,128,0.5587142705917358,3.3007147312164307
0.5,6000,160,0.02793545462191105,0.6119668483734131
0.5,6000,192,0.5553715825080872,3.3424878120422363
0.5,6000,224,0.022988446056842804,0.6782534122467041
0.5,6000,256,0.0009970244718715549,0.12890923023223877
0.5,6000,288,0.0016573797911405563,0.16147255897521973
0.5,6000,320,0.003750921692699194,0.26217806339263916
0.5,6000,352,0.007442266680300236,0.36276817321777344
0.5,6000,384,0.0011811847798526287,0.13861382007598877
0.5,6000,416,0.0015296059427782893,0.15853261947631836
0.5,6000,448,0.00268084486015141,0.21358919143676758
0.5,6000,480,0.5538628101348877,3.3661909103393555
0.5,6000,512,0.0022333525121212006,0.1859900951385498
0.5,8000,32,0.01055576279759407,0.4083116054534912
0.5,8000,64,0.011551248840987682,0.45507848262786865
0.5,8000,96,0.019937388598918915,0.6268543004989624
0.5,8000,128,0.5590720772743225,3.6664819717407227
0.5,8000,160,0.004588580224663019,0.25147974491119385
0.5,8000,192,0.0522821843624115,0.9117679595947266
0.5,8000,224,0.004151041619479656,0.26747846603393555
0.5,8000,256,0.00206136261112988,0.18793106079101562
0.5,8000,288,0.03322865441441536,0.7487649917602539
0.5,8000,320,0.029849175363779068,0.6957390308380127
0.5,8000,352,0.004320286680012941,0.3009622097015381
0.5,8000,384,0.43268537521362305,2.614959239959717
0.5,8000,416,0.0064714145846664906,0.2770957946777344
0.5,8000,448,0.019468296319246292,0.5766159296035767
0.5,8000,480,0.0020414520986378193,0.18423104286193848
0.5,8000,512,0.23654092848300934,2.3170101642608643
1.5,200,32,0.2516727149486542,1.9838508367538452
1.5,200,64,0.1181226521730423,1.6188005208969116
1.5,200,96,0.15839144587516785,1.662961483001709
1.5,200,128,0.036706652492284775,0.8156472444534302
1.5,200,160,0.1719251126050949,1.745509147644043
1.5,200,192,0.2084396481513977,2.1626782417297363
1.5,200,224,0.5506738424301147,3.4577133655548096
1.5,200,256,0.17878888547420502,1.8297258615493774
1.5,200,288,0.17560766637325287,1.7775437831878662
1.5,200,320,0.13691985607147217,1.9005227088928223
1.5,200,352,1.079793095588684,3.2393205165863037
1.5,200,384,0.1608075499534607,1.6911325454711914
1.5,200,416,0.5902596116065979,3.408047676086426
1.5,200,448,0.2605644166469574,1.9400660991668701
1.5,200,480,0.5891476273536682,3.378582239151001
1.5,200,512,0.12025787681341171,1.4609880447387695
1.5,500,32,0.04066707193851471,0.8720932006835938
1.5,500,64,0.07166196405887604,1.148420810699463
1.5,500,96,0.1369963437318802,1.5134283304214478
1.5,500,128,0.010535442270338535,0.4192779064178467
1.5,500,160,0.27617111802101135,1.946462631225586
1.5,500,192,0.018102608621120453,0.5167226791381836
1.5,500,224,0.024658069014549255,0.7224622964859009
1.5,500,256,1.0278027057647705,4.625294208526611
1.5,500,288,0.05223410949110985,1.0098768472671509
1.5,500,320,1.477226734161377,4.860043048858643
1.5,500,352,0.10709786415100098,1.262006402015686
1.5,500,384,0.06437734514474869,1.1262764930725098
1.5,500,416,0.019793180748820305,0.5623679161071777
1.5,500,448,0.3368145525455475,1.9998527765274048
1.5,500,480,0.03198811039328575,0.7148137092590332
1.5,500,512,0.016056543216109276,0.5548820495605469
1.5,1000,32,0.061348337680101395,1.1224920749664307
1.5,1000,64,0.12211693078279495,1.5275976657867432
1.5,1000,96,0.13550931215286255,1.5252434015274048
1.5,1000,128,0.021857399493455887,0.6819603443145752
1.5,1000,160,0.17917409539222717,1.6519361734390259
1.5,1000,192,0.16958312690258026,1.6630057096481323
1.5,1000,224,0.5513980388641357,3.422738552093506
1.5,1000,256,0.061170730739831924,1.04365873336792
1.5,1000,288,0.05657021328806877,1.0478832721710205
1.5,1000,320,0.16982874274253845,1.5219717025756836
1.5,1000,352,0.0783308893442154,1.1980845928192139
1.5,1000,384,0.03986649960279465,0.9774127006530762
1.5,1000,416,0.07474774867296219,1.0787761211395264
1.5,1000,448,0.1447099894285202,1.5762102603912354
