nu,n,D,test_mse,interval
15,200,32,0.1728489249944687,1.9695467948913574
15,200,64,0.4463072121143341,3.133848190307617
15,200,96,0.4533984363079071,2.593773126602173
15,200,128,0.22509856522083282,2.2277278900146484
15,200,160,0.49689722061157227,3.2415263652801514
15,200,192,0.32835841178894043,2.666776657104492
15,200,224,0.532230019569397,2.7159881591796875
15,200,256,0.06587077677249908,1.1086459159851074
15,200,288,0.5514400005340576,3.4213199615478516
15,200,320,0.4155866801738739,2.7376959323883057
15,200,352,0.44255661964416504,3.1133713722229004
15,200,384,0.2880593240261078,2.1550464630126953
15,200,416,0.2581997215747833,1.8333863019943237
15,200,448,0.3448997735977173,2.333738088607788
15,200,480,0.28127697110176086,2.039215087890625
15,200,512,0.09450636804103851,1.479193925857544
15,500,32,0.053240880370140076,1.0913593769073486
15,500,64,0.20460332930088043,1.9677212238311768
15,500,96,0.15749044716358185,1.8430423736572266
15,500,128,0.08231189101934433,1.3531663417816162
15,500,160,0.15157923102378845,1.588958740234375
15,500,192,0.15486852824687958,1.594425916671753
15,500,224,0.21030034124851227,1.7232035398483276
15,500,256,0.06648391485214233,1.1546862125396729
15,500,288,0.10720127075910568,1.6760469675064087
15,500,320,0.2033056914806366,1.829660415649414
15,500,352,0.5292637944221497,2.4010355472564697
15,500,384,0.24467912316322327,2.0502777099609375
15,500,416,0.03423858806490898,0.7357430458068848
15,500,448,0.1246301457285881,1.5894207954406738
15,500,480,0.15694287419319153,1.7772314548492432
15,500,512,0.10571163892745972,1.2249705791473389
15,1000,32,0.19699111580848694,2.041947841644287
15,1000,64,0.2543475925922394,2.1350762844085693
15,1000,96,0.19259008765220642,1.7958002090454102
15,1000,128,0.07094170898199081,1.1108834743499756
15,1000,160,0.5506626963615417,3.458653688430786
15,1000,192,0.60288006067276,3.948291778564453
15,1000,224,0.21299315989017487,1.9579675197601318
15,1000,256,0.05423017218708992,0.9526433944702148
15,1000,288,0.1822640746831894,1.911881923675537
15,1000,320,0.17096692323684692,1.815077781677246
15,1000,352,0.15573377907276154,1.7714693546295166
15,1000,384,0.29277727007865906,2.3015098571777344
15,1000,416,0.12427493184804916,1.6304149627685547
15,1000,448,0.29212042689323425,2.1950387954711914
15,1000,480,0.15196117758750916,1.7312813997268677
15,1000,512,0.03937026113271713,0.8677679300308228
15,2000,32,0.16249871253967285,1.6512436866760254
15,2000,64,0.06089317798614502,1.080820083618164
15,2000,96,0.28852158784866333,1.9306232929229736
15,2000,128,0.054183363914489746,1.0301332473754883
15,2000,160,0.5579807162284851,3.6541736125946045
15,2000,192,0.17168213427066803,2.05633282661438
15,2000,224,0.14991812407970428,1.6669878959655762
15,2000,256,0.0358198918402195,0.79210364818573
15,2000,288,0.3062654435634613,2.123732805252075
15,2000,320,0.0797806978225708,1.2039663791656494
15,2000,352,0.5624330043792725,3.6998376846313477
15,2000,384,0.8718196153640747,4.529674530029297
15,2000,416,0.07500861585140228,1.2423591613769531
15,2000,448,0.35246703028678894,2.439202308654785
15,2000,480,0.21864715218544006,2.054368019104004
15,2000,512,0.051622871309518814,0.9277008771896362
