nu,n,D,test_mse,interval
15,200,32,0.07499665766954422,1.2353895902633667
15,200,64,0.004048483446240425,0.2668592929840088
15,200,96,0.001577874762006104,0.1676163673400879
15,200,128,0.00752616673707962,0.3443937301635742
15,200,160,0.0015430394560098648,0.17192327976226807
15,200,192,0.0019104249076917768,0.19441330432891846
15,200,224,0.0031883458141237497,0.17554855346679688
15,200,256,0.002371616894379258,0.18248271942138672
15,200,288,0.002435201546177268,0.16402626037597656
15,200,320,0.0026855391915887594,0.19536256790161133
15,200,352,0.005032462999224663,0.280007004737854
15,200,384,0.002115462673828006,0.16317906975746155
15,200,416,0.0018666191026568413,0.1812187284231186
15,200,448,0.0027180928736925125,0.20246684551239014
15,200,480,0.003597425762563944,0.21537542343139648
15,200,512,0.00133914640173316,0.14695918560028076
15,500,32,0.0067363316193223,0.32086944580078125
15,500,64,0.0008818666683509946,0.10626721382141113
15,500,96,0.0005142735899426043,0.08024008572101593
15,500,128,0.0009326493600383401,0.10130453109741211
15,500,160,0.0006391591159626842,0.08756601810455322
15,500,192,0.0006048176437616348,0.09716272354125977
15,500,224,0.0003526560321915895,0.06632685661315918
15,500,256,0.00046065071364864707,0.07580370455980301
15,500,288,0.0004682420985773206,0.0820465087890625
15,500,320,0.00047160766553133726,0.08518576622009277
15,500,352,0.0005239125457592309,0.07284951210021973
15,500,384,0.0002716316084843129,0.06370997428894043
15,500,416,0.0004441839992068708,0.07444882392883301
15,500,448,0.00041755367419682443,0.07410036772489548
15,500,480,0.0004145345010329038,0.07764863967895508
15,500,512,0.0002499445399735123,0.06054115295410156
15,1000,32,0.006422626320272684,0.32408809661865234
15,1000,64,0.0005055039073340595,0.0863654613494873
15,1000,96,0.0003221598162781447,0.0744020938873291
15,1000,128,0.0005306766834110022,0.10139894485473633
15,1000,160,0.00023347088426817209,0.06008070707321167
15,1000,192,0.0002875586797017604,0.06702715158462524
15,1000,224,0.00020240187586750835,0.05566740036010742
15,1000,256,0.0002821794478222728,0.062308404594659805
15,1000,288,0.0003125592484138906,0.06977611780166626
15,1000,320,0.0002993211383000016,0.0698084831237793
15,1000,352,0.00042841912363655865,0.08065176010131836
15,1000,384,0.00023679138394072652,0.058771610260009766
15,1000,416,0.00030393432825803757,0.06589451432228088
15,1000,448,0.0003154565638396889,0.0672532320022583
15,1000,480,0.00031600327929481864,0.06321096420288086
15,1000,512,0.0002320037456229329,0.05969119071960449
15,2000,32,0.003186205169185996,0.22911012172698975
15,2000,64,0.0004538934153970331,0.07239246368408203
15,2000,96,0.00024663953809067607,0.05769515782594681
15,2000,128,0.00037175335455685854,0.07210302352905273
15,2000,160,0.0002107291220454499,0.05446958541870117
15,2000,192,0.0002522032300475985,0.06332161277532578
15,2000,224,0.00020225658954586834,0.05357789993286133
15,2000,256,0.00023444204998668283,0.05410480499267578
15,2000,288,0.0003076608991250396,0.06621408462524414
15,2000,320,0.00018978628213517368,0.051862239837646484
15,2000,352,0.00023649011563975364,0.060526132583618164
15,2000,384,0.00018576822185423225,0.05057168006896973
15,2000,416,0.00021253952581901103,0.05725383758544922
15,2000,448,0.0002201870665885508,0.056992292404174805
15,2000,480,0.00021805509459227324,0.0535503625869751
15,2000,512,0.00020001262600999326,0.055568963289260864
15,4000,32,0.0020341144409030676,0.18411874771118164
15,4000,64,0.0003094798303209245,0.06722736358642578
15,4000,96,0.00018138668383471668,0.05157439410686493
15,4000,128,0.00021648821712005883,0.05543529987335205
15,4000,160,0.00018934470426756889,0.05141282081604004
15,4000,192,0.0001863594661699608,0.05400818586349487
15,4000,224,0.00015681737568229437,0.04608869552612305
15,4000,256,0.00016162234533112496,0.05004056915640831
15,4000,288,0.00020500001846812665,0.05529069900512695
15,4000,320,0.00016548752319067717,0.04908319562673569
15,4000,352,0.00020656458218581975,0.05784916877746582
15,4000,384,0.00017368279804941267,0.04825019836425781
15,4000,416,0.00015790254110470414,0.04943537712097168
15,4000,448,0.00017781576025299728,0.049109458923339844
15,4000,480,0.0001881964853964746,0.0518094003200531
15,4000,512,0.00019572601013351232,0.05348396301269531
15,6000,32,0.001707858988083899,0.1802823543548584
15,6000,64,0.00025303178699687123,0.056359440088272095
15,6000,96,0.0001637364039197564,0.048537373542785645
15,6000,128,0.0002094716182909906,0.055577993392944336
15,6000,160,0.00016552771558053792,0.04898262023925781
15,6000,192,0.00019552507728803903,0.05496472120285034
15,6000,224,0.00013454380678012967,0.043262481689453125
15,6000,256,0.0001707357878331095,0.04972434043884277
15,6000,288,0.00015696427726652473,0.04768270254135132
15,6000,320,0.00014936459774617106,0.04541808366775513
15,6000,352,0.0002222422044724226,0.058658599853515625
15,6000,384,0.0001449623377993703,0.045710448175668716
15,6000,416,0.0001799142628442496,0.05141472443938255
15,6000,448,0.0001525562402093783,0.04773736000061035
15,6000,480,0.00015681955846957862,0.04702594131231308
15,6000,512,0.00014989388000685722,0.04779481887817383
15,8000,32,0.0012092337710782886,0.14417552947998047
15,8000,64,0.0002687725063879043,0.06412416696548462
15,8000,96,0.00016582669923081994,0.04845166578888893
15,8000,128,0.0002059767721220851,0.05450236797332764
15,8000,160,0.00019128088024444878,0.054195284843444824
15,8000,192,0.00017886300338432193,0.05264878273010254
15,8000,224,0.00014356750762090087,0.04675865173339844
15,8000,256,0.00016362086171284318,0.050080299377441406
15,8000,288,0.00014959333930164576,0.046623438596725464
15,8000,320,0.00015111190441530198,0.046912625432014465
15,8000,352,0.00016552576562389731,0.048900581896305084
15,8000,384,0.00015449756756424904,0.04641455411911011
15,8000,416,0.00016872635751497,0.05217123031616211
15,8000,448,0.0001598897943040356,0.05023223161697388
15,8000,480,0.00016632190090604126,0.04934799671173096
15,8000,512,0.00015078330761753023,0.049771327525377274
20,200,32,0.06845034658908844,1.0841789245605469
