nu,n,D,test_mse,interval
0.5,200,32,0.013074323534965515,0.48129457235336304
0.5,200,64,0.09061019867658615,1.3579051494598389
0.5,200,96,0.3801676034927368,2.594102144241333
0.5,200,128,0.0556349977850914,1.0264899730682373
0.5,200,160,0.07129648327827454,1.2799630165100098
0.5,200,192,0.15968042612075806,1.6767572164535522
0.5,200,224,0.061740774661302567,1.2182353734970093
0.5,200,256,0.034561630338430405,0.7890090942382812
0.5,200,288,0.04091303423047066,0.8679635524749756
0.5,200,320,0.021335167810320854,0.6617374420166016
0.5,200,352,0.10056857019662857,1.3867590427398682
0.5,200,384,0.0508858785033226,0.966266393661499
0.5,200,416,0.06836231797933578,1.1538490056991577
0.5,200,448,0.009642072953283787,0.4330425262451172
0.5,200,480,0.044171061366796494,0.8833328485488892
0.5,200,512,0.0860801637172699,1.355919361114502
0.5,500,32,0.003484484739601612,0.2589832544326782
0.5,500,64,0.01638045161962509,0.5244169235229492
0.5,500,96,0.11938092112541199,1.573523998260498
0.5,500,128,0.00808747299015522,0.38435834646224976
0.5,500,160,0.007053165230900049,0.40440618991851807
0.5,500,192,0.013007070869207382,0.4432029724121094
0.5,500,224,0.012448533438146114,0.4343850612640381
0.5,500,256,0.0024984709452837706,0.2114294171333313
0.5,500,288,0.004188942722976208,0.2665867805480957
0.5,500,320,0.0013820907333865762,0.15225914120674133
0.5,500,352,0.031248707324266434,0.7256020307540894
0.5,500,384,0.030375927686691284,0.7187246084213257
0.5,500,416,0.008249870501458645,0.3996157646179199
0.5,500,448,0.0009414454689249396,0.1300044059753418
0.5,500,480,0.005163163412362337,0.32441240549087524
0.5,500,512,0.03661349415779114,0.8701765537261963
0.5,1000,32,0.001884906436316669,0.17166876792907715
0.5,1000,64,0.004506188444793224,0.2781813144683838
0.5,1000,96,0.010501181706786156,0.40575820207595825
0.5,1000,128,0.021884538233280182,0.6642537117004395
0.5,1000,160,0.004307648167014122,0.2746891975402832
0.5,1000,192,0.0017822564113885164,0.16486090421676636
0.5,1000,224,0.0028400870505720377,0.242071270942688
0.5,1000,256,0.0008639712468720973,0.11685028672218323
0.5,1000,288,0.0012107219081372023,0.1482309103012085
0.5,1000,320,0.0003464127075858414,0.07492339611053467
0.5,1000,352,0.007984809577465057,0.3860301971435547
0.5,1000,384,0.00144308025483042,0.14957785606384277
0.5,1000,416,0.001352772582322359,0.1658439040184021
0.5,1000,448,0.00029780276236124337,0.06409215927124023
0.5,1000,480,0.0007500965730287135,0.11167502403259277
0.5,1000,512,0.0019889946561306715,0.15437918901443481
0.5,2000,32,0.0024683719966560602,0.19013026356697083
0.5,2000,64,0.02104702591896057,0.5694470405578613
0.5,2000,96,0.0036388644948601723,0.2099769115447998
0.5,2000,128,0.000574548146687448,0.09477663040161133
0.5,2000,160,0.0012612127466127276,0.1688098907470703
0.5,2000,192,0.001175213372334838,0.12287134677171707
0.5,2000,224,0.0020281600300222635,0.16694927215576172
0.5,2000,256,0.0013583841500803828,0.1392345428466797
0.5,2000,288,0.0003892835811711848,0.0756678581237793
0.5,2000,320,0.0002919255057349801,0.06801557540893555
0.5,2000,352,0.0008505713776685297,0.12080109119415283
0.5,2000,384,0.0006437904667109251,0.1063394546508789
0.5,2000,416,0.00035414088051766157,0.06960034370422363
0.5,2000,448,0.00024181923072319478,0.058353498578071594
0.5,2000,480,0.0005410705925896764,0.09210169315338135
0.5,2000,512,0.017757868394255638,0.5420395135879517
0.5,4000,32,0.0007221131236292422,0.10589742660522461
0.5,4000,64,0.007001868449151516,0.350608766078949
0.5,4000,96,0.0016922118375077844,0.1684741973876953
0.5,4000,128,0.0008087854366749525,0.11383175849914551
0.5,4000,160,0.0009808075847104192,0.12731647491455078
0.5,4000,192,0.00025473645655438304,0.06440281867980957
0.5,4000,224,0.0017640219302847981,0.1507737636566162
0.5,4000,256,0.0003999838372692466,0.07512617111206055
0.5,4000,288,0.00019574534962885082,0.05458259582519531
0.5,4000,320,0.00023268084623850882,0.05940651893615723
0.5,4000,352,0.00031792998197488487,0.07541847229003906
0.5,4000,384,0.0004411828995216638,0.0861959457397461
0.5,4000,416,0.00024567401851527393,0.06014883518218994
0.5,4000,448,0.00016827059153001755,0.04839587211608887
0.5,4000,480,0.0004383172490634024,0.08558642864227295
0.5,4000,512,0.0006311392644420266,0.09889078140258789
0.5,6000,32,0.0007477703038603067,0.11525821685791016
0.5,6000,64,0.0045318310149014,0.27915215492248535
0.5,6000,96,0.0026878509670495987,0.25583767890930176
0.5,6000,128,0.0005150805809535086,0.09119939804077148
0.5,6000,160,0.0004831569967791438,0.08680582046508789
0.5,6000,192,0.00040458288276568055,0.0798788070678711
0.5,6000,224,0.0005107175675220788,0.09227490425109863
0.5,6000,256,0.0005194158293306828,0.0867455005645752
0.5,6000,288,0.00017274371930398047,0.05281376838684082
0.5,6000,320,0.00018131505930796266,0.053522974252700806
0.5,6000,352,0.0005372385494410992,0.08568501472473145
0.5,6000,384,0.0004739497962873429,0.09065771102905273
0.5,6000,416,0.00022931696730665863,0.05544447898864746
0.5,6000,448,0.00014283224300015718,0.04593163728713989
0.5,6000,480,0.0001901438517961651,0.0551409013569355
0.5,6000,512,0.0015221087960526347,0.1638200283050537
0.5,8000,32,0.0010720060672610998,0.13070106506347656
0.5,8000,64,0.0028104230295866728,0.2156827449798584
0.5,8000,96,0.0010302572045475245,0.1262575387954712
0.5,8000,128,0.000591313058976084,0.09644007682800293
0.5,8000,160,0.0004488449194468558,0.0850367546081543
0.5,8000,192,0.0007381101604551077,0.10627365112304688
0.5,8000,224,0.0005191246164031327,0.08292937278747559
