nu,n,D,test_mse,interval
3.5,200,32,0.1767195165157318,1.5332472324371338
3.5,200,64,0.04753183573484421,1.0285401344299316
3.5,200,96,0.467256635427475,3.0423083305358887
3.5,200,128,0.13810119032859802,1.575484275817871
3.5,200,160,0.2889692783355713,2.104992628097534
3.5,200,192,0.08151214569807053,1.1385561227798462
3.5,200,224,0.4796871244907379,2.5550479888916016
3.5,200,256,0.06601055711507797,0.9740140438079834
3.5,200,288,0.15381105244159698,1.838850975036621
3.5,200,320,1.4450417757034302,4.638147354125977
3.5,200,352,0.6996797323226929,2.865154981613159
3.5,200,384,0.1205945760011673,1.5678272247314453
3.5,200,416,0.44796356558799744,2.8664307594299316
3.5,200,448,0.21391986310482025,1.9530763626098633
3.5,200,480,0.4640483260154724,3.417964220046997
3.5,200,512,0.09758370369672775,1.325490951538086
3.5,500,32,0.05392414703965187,1.0031120777130127
3.5,500,64,0.17902344465255737,1.736861228942871
3.5,500,96,0.19933074712753296,1.8607468605041504
3.5,500,128,0.05443418398499489,1.0519731044769287
3.5,500,160,0.042209696024656296,0.861143946647644
3.5,500,192,1.070803165435791,3.3392958641052246
3.5,500,224,0.10082937031984329,1.45003080368042
3.5,500,256,0.03906843438744545,0.8108574151992798
3.5,500,288,0.0714118555188179,1.0970313549041748
3.5,500,320,0.48017004132270813,2.4257972240448
3.5,500,352,0.04509827867150307,0.9214612245559692
3.5,500,384,0.22570227086544037,1.9857220649719238
3.5,500,416,0.5260165929794312,2.4785678386688232
3.5,500,448,0.21493913233280182,1.9791675806045532
3.5,500,480,0.24154840409755707,1.939408302307129
3.5,500,512,0.10553529113531113,1.3957974910736084
3.5,1000,32,0.09079081565141678,1.3420889377593994
3.5,1000,64,0.1520918309688568,1.6202893257141113
3.5,1000,96,0.32049646973609924,1.9568036794662476
3.5,1000,128,0.15920685231685638,1.8425891399383545
3.5,1000,160,0.06680594384670258,1.1530877351760864
3.5,1000,192,0.09118661284446716,1.4035956859588623
3.5,1000,224,0.25751784443855286,2.2294809818267822
3.5,1000,256,0.021208740770816803,0.6294679641723633
3.5,1000,288,0.14839686453342438,1.7871882915496826
3.5,1000,320,0.5514256358146667,3.421806573867798
3.5,1000,352,0.555655300617218,3.6248154640197754
3.5,1000,384,0.5537608861923218,2.457118034362793
3.5,1000,416,0.25499531626701355,2.051802635192871
3.5,1000,448,0.28498736023902893,1.981701374053955
3.5,1000,480,0.5554463267326355,3.621866226196289
3.5,1000,512,0.0423482283949852,0.8981645107269287
3.5,2000,32,0.06247590854763985,1.044114112854004
3.5,2000,64,0.08333967626094818,1.2522149085998535
3.5,2000,96,0.609851062297821,2.8835930824279785
3.5,2000,128,0.03412933275103569,0.7064653635025024
3.5,2000,160,0.13725705444812775,1.4464378356933594
3.5,2000,192,0.32398951053619385,1.9748973846435547
3.5,2000,224,0.05997106060385704,1.0667400360107422
3.5,2000,256,0.09668818861246109,1.4034310579299927
3.5,2000,288,0.12218836694955826,1.5775628089904785
3.5,2000,320,0.5601304173469543,3.6775994300842285
3.5,2000,352,0.5630255341529846,3.506822347640991
3.5,2000,384,0.1612834483385086,1.8073315620422363
3.5,2000,416,1.5086332559585571,4.176690578460693
3.5,2000,448,0.0976250097155571,1.3300631046295166
3.5,2000,480,0.2708497643470764,1.7855298519134521
3.5,2000,512,0.030615465715527534,0.7181046009063721
3.5,4000,32,0.04566526785492897,1.0176756381988525
