nu,n,D,test_mse,interval
15,200,32,0.18662437796592712,1.744224190711975
15,200,64,0.29975616931915283,2.4863343238830566
15,200,96,0.18967148661613464,1.7612346410751343
15,200,128,0.2502497732639313,2.2954530715942383
15,200,160,0.277617484331131,2.18942928314209
15,200,192,0.26880472898483276,2.2523207664489746
15,200,224,0.18344049155712128,1.728454828262329
15,200,256,0.25158828496932983,2.155691623687744
15,200,288,0.2607370615005493,2.167819023132324
15,200,320,0.27325037121772766,2.2319300174713135
15,200,352,0.24167832732200623,2.1173696517944336
15,200,384,0.3073035180568695,2.56174373626709
15,200,416,0.30115723609924316,2.6404876708984375
15,200,448,0.337775319814682,2.5997602939605713
15,200,480,0.24246010184288025,2.1011838912963867
15,200,512,0.24787789583206177,2.2184455394744873
15,500,32,0.13494649529457092,1.5350236892700195
15,500,64,0.1587245911359787,1.6620633602142334
15,500,96,0.15319296717643738,1.647493600845337
15,500,128,0.1462848037481308,1.5035771131515503
15,500,160,0.1600368171930313,1.6734354496002197
15,500,192,0.163723424077034,1.6103829145431519
15,500,224,0.15846697986125946,1.6758503913879395
15,500,256,0.1173684373497963,1.6009044647216797
15,500,288,0.14800122380256653,1.7338948249816895
15,500,320,0.12655027210712433,1.676373839378357
15,500,352,0.1598356068134308,1.7216835021972656
15,500,384,0.17470085620880127,1.7443079948425293
15,500,416,0.1704401671886444,1.7217499017715454
15,500,448,0.16118063032627106,1.730446457862854
15,500,480,0.12961481511592865,1.5428026914596558
15,500,512,0.12283037602901459,1.5027689933776855
15,1000,32,0.11411109566688538,1.360114574432373
15,1000,64,0.10971874743700027,1.3811371326446533
15,1000,96,0.08926978707313538,1.2671376466751099
15,1000,128,0.10589461028575897,1.3130478858947754
15,1000,160,0.10450013726949692,1.4053659439086914
15,1000,192,0.10241243988275528,1.4237340688705444
15,1000,224,0.09023799002170563,1.3071484565734863
15,1000,256,0.09888510406017303,1.273003339767456
15,1000,288,0.09294184297323227,1.2185158729553223
15,1000,320,0.10021336376667023,1.2448022365570068
15,1000,352,0.08782064914703369,1.2804044485092163
15,1000,384,0.08401154726743698,1.1874417066574097
15,1000,416,0.12014523148536682,1.334059476852417
15,1000,448,0.11384999006986618,1.458778738975525
15,1000,480,0.07607095688581467,1.225887417793274
15,1000,512,0.086793452501297,1.2756211757659912
15,2000,32,0.09908498823642731,1.3324947357177734
15,2000,64,0.0819806158542633,1.1978614330291748
15,2000,96,0.06647074222564697,1.073554277420044
15,2000,128,0.08337753266096115,1.2237229347229004
