D,MLKM_train,MLKM_test,MLKM_interval,MLKM_ep,ResKernelNet_train,ResKernelNet_test,ResKernelNet_interval,ResKernelNet_ep
32,0.030652550980448723,0.03052426129579544,0.6756148338317871,2000,0.029270412400364876,0.029638443142175674,0.6744505167007446,2000
64,0.03430142253637314,0.034545861184597015,0.7106003761291504,2000,0.03204946219921112,0.03233005106449127,0.6651617288589478,2000
96,0.032838061451911926,0.03427887707948685,0.6899076700210571,2000,0.030407128855586052,0.0304160974919796,0.6717914342880249,2000
128,0.029217852279543877,0.029950479045510292,0.6711431741714478,2000,0.03254226595163345,0.03353926166892052,0.7117727994918823,2000
160,0.05004401504993439,0.05025099217891693,0.9238972663879395,2000,0.030689971521496773,0.031035523861646652,0.6562933325767517,2000
192,0.07846283912658691,0.07673949748277664,1.1725046634674072,2000,0.05005640164017677,0.0514199361205101,0.8335397243499756,2000
224,0.04696068540215492,0.04745839536190033,0.8680736422538757,2000,0.040838632732629776,0.04168548807501793,0.8170663118362427,2000
256,0.0353977307677269,0.03663729503750801,0.7457414865493774,2000,0.0781816840171814,0.08158634603023529,1.0941799879074097,2000
288,0.054162852466106415,0.058216989040374756,0.8810799717903137,2000,0.045809946954250336,0.04804353415966034,0.834884524345398,2000
320,0.06777680665254593,0.07353061437606812,1.1234487295150757,2000,0.04847580939531326,0.050177913159132004,0.869779109954834,2000
352,0.1371537297964096,0.14096485078334808,1.4525086879730225,2000,0.07221008837223053,0.07324308156967163,1.0428099632263184,2000
384,0.11736635863780975,0.12289790064096451,1.315229892730713,2000,0.0742749571800232,0.0773911103606224,1.1178083419799805,2000
416,0.11873240023851395,0.11770274490118027,1.4004087448120117,2000,0.09130484610795975,0.09495889395475388,1.2579517364501953,2000
448,0.06437560170888901,0.06519772857427597,1.0036540031433105,2000,0.13731832802295685,0.1425287127494812,1.4936580657958984,2000
480,0.1054617315530777,0.11184147745370865,1.253395438194275,2000,0.10924965888261795,0.11450258642435074,1.3037996292114258,2000
512,0.1739111989736557,0.17472165822982788,1.600687026977539,2000,0.05515064671635628,0.0567510649561882,0.8807545900344849,2000
