n,D,test_mse,interval
200,32,0.22884529829025269,2.0251269340515137
200,64,0.2223966121673584,1.9911866188049316
200,96,0.22380386292934418,2.081280469894409
200,128,0.21568956971168518,1.9509694576263428
200,160,0.20710238814353943,1.849412202835083
200,192,0.2212439626455307,1.9064521789550781
200,224,0.18755926191806793,1.7159953117370605
200,256,0.1863451898097992,1.7299062013626099
200,288,0.20096436142921448,1.8088876008987427
200,320,0.19279253482818604,1.7838374376296997
200,352,0.18315386772155762,1.7252267599105835
200,384,0.1735064834356308,1.6611851453781128
200,416,0.1909875124692917,1.7434827089309692
200,448,0.1889529675245285,1.7091059684753418
200,480,0.1892929971218109,1.7150143384933472
200,512,0.17864015698432922,1.6888108253479004
500,32,0.19742421805858612,1.7533419132232666
500,64,0.17731480300426483,1.741485595703125
500,96,0.15128150582313538,1.575966238975525
500,128,0.16208341717720032,1.6425923109054565
500,160,0.16540613770484924,1.6618719100952148
500,192,0.17545105516910553,1.6981201171875
500,224,0.14952704310417175,1.5086781978607178
500,256,0.16203604638576508,1.6039447784423828
500,288,0.1679505705833435,1.64067804813385
500,320,0.1798640638589859,1.770796537399292
500,352,0.18930110335350037,1.7853881120681763
500,384,0.17028433084487915,1.670828104019165
500,416,0.16487978398799896,1.6987320184707642
500,448,0.16830971837043762,1.7237260341644287
500,480,0.18066494166851044,1.6599057912826538
500,512,0.1732574850320816,1.6494998931884766
1000,32,0.19133509695529938,1.7730042934417725
1000,64,0.16301843523979187,1.7013230323791504
1000,96,0.15144549310207367,1.6064176559448242
1000,128,0.1638028770685196,1.7120428085327148
1000,160,0.18920519948005676,1.7744301557540894
1000,192,0.1510547548532486,1.55442214012146
1000,224,0.16038373112678528,1.6018848419189453
1000,256,0.16399399936199188,1.7094786167144775
1000,288,0.18558010458946228,1.7543458938598633
1000,320,0.1831519603729248,1.727584958076477
1000,352,0.17919519543647766,1.673462152481079
1000,384,0.16518482565879822,1.651031494140625
1000,416,0.16128018498420715,1.6204042434692383
1000,448,0.17028726637363434,1.6406030654907227
1000,480,0.16916848719120026,1.6807857751846313
1000,512,0.15491071343421936,1.592020034790039
2000,32,0.1576310694217682,1.6681033372879028
2000,64,0.15388470888137817,1.7120164632797241
2000,96,0.12553928792476654,1.4352885484695435
2000,128,0.12344221025705338,1.4297356605529785
2000,160,0.13297247886657715,1.563400149345398
2000,192,0.16386453807353973,1.69447922706604
2000,224,0.16197912395000458,1.5753189325332642
2000,256,0.15596790611743927,1.6123932600021362
2000,288,0.14636355638504028,1.5179779529571533
2000,320,0.1646997034549713,1.6110925674438477
2000,352,0.17665043473243713,1.7531522512435913
2000,384,0.1582280397415161,1.52774178981781
2000,416,0.19171354174613953,1.7750694751739502
2000,448,0.16265717148780823,1.6625337600708008
2000,480,0.1748572736978531,1.6693766117095947
2000,512,0.16588330268859863,1.579757571220398
4000,32,0.1499032825231552,1.6631721258163452
4000,64,0.1545664370059967,1.7281166315078735
4000,96,0.1464262157678604,1.707920789718628
4000,128,0.15462490916252136,1.6226495504379272
4000,160,0.13602706789970398,1.5462872982025146
4000,192,0.17409302294254303,1.6493594646453857
4000,224,0.13873010873794556,1.4902390241622925
4000,256,0.1430310159921646,1.5476837158203125
4000,288,0.17024995386600494,1.6731504201889038
4000,320,0.1503649652004242,1.6109199523925781
4000,352,0.17347034811973572,1.6506364345550537
4000,384,0.16940654814243317,1.6550651788711548
4000,416,0.1715432107448578,1.6681793928146362
4000,448,0.1470607966184616,1.5390455722808838
4000,480,0.16277962923049927,1.6121606826782227
4000,512,0.16720566153526306,1.602674961090088
6000,32,0.15106405317783356,1.6667596101760864
6000,64,0.15868547558784485,1.691518783569336
6000,96,0.1478976160287857,1.6767301559448242
6000,128,0.1445901095867157,1.6763569116592407
6000,160,0.1444651484489441,1.566369652748108
6000,192,0.14899615943431854,1.6050258874893188
6000,224,0.15525494515895844,1.6798105239868164
6000,256,0.1645481437444687,1.5330818891525269
6000,288,0.13833007216453552,1.5308138132095337
6000,320,0.14862649142742157,1.567358374595642
6000,352,0.17802351713180542,1.7170172929763794
6000,384,0.1635390967130661,1.6219067573547363
6000,416,0.1500152051448822,1.505681037902832
6000,448,0.14348334074020386,1.4495015144348145
6000,480,0.15085217356681824,1.590840458869934
6000,512,0.15175370872020721,1.5910128355026245
8000,32,0.1528128683567047,1.6834356784820557
8000,64,0.15613992512226105,1.7259727716445923
8000,96,0.11378990113735199,1.4994046688079834
8000,128,0.13943341374397278,1.5291098356246948
8000,160,0.1423770934343338,1.5811657905578613
8000,192,0.12274765223264694,1.483062982559204
8000,224,0.14081566035747528,1.503015398979187
8000,256,0.15340685844421387,1.5013620853424072
8000,288,0.14226780831813812,1.4834816455841064
8000,320,0.13999640941619873,1.5922036170959473
8000,352,0.17169110476970673,1.7035622596740723
8000,384,0.1718245893716812,1.7103087902069092
8000,416,0.16052144765853882,1.684842824935913
8000,448,0.14456240832805634,1.5695375204086304
8000,480,0.1621120274066925,1.6043078899383545
8000,512,0.16209667921066284,1.6729931831359863
