nu,n,D,test_mse,interval
0.5,200,32,0.2221393883228302,1.8515976667404175
0.5,200,64,0.20144854485988617,1.8282568454742432
0.5,200,96,0.18833084404468536,1.8114131689071655
0.5,200,128,0.20217907428741455,1.819584846496582
0.5,200,160,0.20223206281661987,1.8351428508758545
0.5,200,192,0.18450668454170227,1.748072862625122
0.5,200,224,0.19215798377990723,1.7241618633270264
0.5,200,256,0.19584079086780548,1.8232128620147705
0.5,200,288,0.2304832935333252,1.8916822671890259
0.5,200,320,0.20432136952877045,1.8318060636520386
0.5,200,352,0.18867944180965424,1.768254280090332
0.5,200,384,0.18427573144435883,1.7324988842010498
0.5,200,416,0.2018667757511139,1.821298599243164
0.5,200,448,0.2282131314277649,1.9190365076065063
0.5,200,480,0.18839284777641296,1.7416925430297852
0.5,200,512,0.20527592301368713,1.7888716459274292
0.5,500,32,0.19120387732982635,1.7943124771118164
0.5,500,64,0.18321490287780762,1.7835360765457153
0.5,500,96,0.22369559109210968,2.001485824584961
0.5,500,128,0.1847715824842453,1.7161332368850708
0.5,500,160,0.19601695239543915,1.7984163761138916
0.5,500,192,0.18195484578609467,1.729062795639038
0.5,500,224,0.231395423412323,2.068474054336548
0.5,500,256,0.20453695952892303,1.809567928314209
0.5,500,288,0.21109727025032043,1.8969273567199707
0.5,500,320,0.21848291158676147,1.8428752422332764
0.5,500,352,0.23419705033302307,1.8867453336715698
0.5,500,384,0.1821243315935135,1.7476119995117188
0.5,500,416,0.21182137727737427,1.8140431642532349
0.5,500,448,0.18427276611328125,1.7843376398086548
0.5,500,480,0.2017422765493393,1.8372530937194824
0.5,500,512,0.18178482353687286,1.7221726179122925
0.5,1000,32,0.19762147963047028,1.7514220476150513
0.5,1000,64,0.18259485065937042,1.7310094833374023
0.5,1000,96,0.1987760365009308,1.8410123586654663
0.5,1000,128,0.19001826643943787,1.6974893808364868
0.5,1000,160,0.18670937418937683,1.712620735168457
0.5,1000,192,0.18243655562400818,1.742812156677246
0.5,1000,224,0.2132306545972824,1.9209825992584229
0.5,1000,256,0.20303349196910858,1.8431553840637207
0.5,1000,288,0.20332962274551392,1.8118854761123657
0.5,1000,320,0.14584733545780182,1.6480848789215088
0.5,1000,352,0.18176965415477753,1.7521733045578003
0.5,1000,384,0.18247286975383759,1.7418277263641357
0.5,1000,416,0.19175341725349426,1.7632362842559814
0.5,1000,448,0.20959746837615967,1.9259883165359497
0.5,1000,480,0.22122962772846222,1.8786569833755493
0.5,1000,512,0.18287989497184753,1.7451128959655762
0.5,2000,32,0.1802530437707901,1.7064546346664429
0.5,2000,64,0.1669384241104126,1.6900795698165894
0.5,2000,96,0.19641034305095673,1.7602049112319946
0.5,2000,128,0.18625257909297943,1.7460395097732544
0.5,2000,160,0.19128277897834778,1.730684757232666
0.5,2000,192,0.18267004191875458,1.7460529804229736
0.5,2000,224,0.18605685234069824,1.8183990716934204
0.5,2000,256,0.15340906381607056,1.5892407894134521
0.5,2000,288,0.19292813539505005,1.7937363386154175
0.5,2000,320,0.15928085148334503,1.7281358242034912
0.5,2000,352,0.19149044156074524,1.7147886753082275
0.5,2000,384,0.1831064075231552,1.7364827394485474
0.5,2000,416,0.1558091789484024,1.608985185623169
0.5,2000,448,0.17896409332752228,1.7403929233551025
0.5,2000,480,0.1823192834854126,1.7380149364471436
0.5,2000,512,0.18704910576343536,1.7554360628128052
0.5,4000,32,0.17720462381839752,1.7730728387832642
0.5,4000,64,0.17005762457847595,1.7398849725723267
0.5,4000,96,0.1917794793844223,1.7708326578140259
0.5,4000,128,0.19504615664482117,1.8242099285125732
0.5,4000,160,0.1937570422887802,1.7687422037124634
0.5,4000,192,0.18304458260536194,1.743839144706726
0.5,4000,224,0.18407638370990753,1.7511214017868042
0.5,4000,256,0.1449143886566162,1.5328150987625122
0.5,4000,288,0.18168222904205322,1.7312495708465576
0.5,4000,320,0.17871378362178802,1.7343153953552246
0.5,4000,352,0.18450435996055603,1.7469801902770996
0.5,4000,384,0.18545497953891754,1.7660287618637085
0.5,4000,416,0.158662348985672,1.5908360481262207
