nu,n,D,test_mse,interval
0.5,200,32,0.3372894823551178,2.471585750579834
0.5,200,64,0.3801061511039734,2.531036376953125
0.5,200,96,0.34128516912460327,2.5478780269622803
0.5,200,128,0.2984711229801178,2.2653698921203613
0.5,200,160,0.359345942735672,2.4868006706237793
0.5,200,192,0.3598959147930145,2.495572090148926
0.5,200,224,0.3488008677959442,2.398463010787964
0.5,200,256,0.2646363079547882,2.1686840057373047
0.5,200,288,0.2901999354362488,2.209062099456787
0.5,200,320,0.2993161380290985,2.262134313583374
0.5,200,352,0.27036890387535095,2.3475379943847656
0.5,200,384,0.27206265926361084,2.128441095352173
0.5,200,416,0.3017210364341736,2.260751724243164
0.5,200,448,0.3415893018245697,2.578066349029541
0.5,200,480,0.24109579622745514,2.165069818496704
0.5,200,512,0.275116890668869,2.2420096397399902
0.5,500,32,0.22563208639621735,2.0093822479248047
0.5,500,64,0.2248208075761795,2.1203837394714355
0.5,500,96,0.22442851960659027,1.9732931852340698
0.5,500,128,0.2569941580295563,2.105867862701416
0.5,500,160,0.3019367456436157,2.3156869411468506
0.5,500,192,0.26712504029273987,2.0815632343292236
0.5,500,224,0.21176080405712128,2.0137951374053955
0.5,500,256,0.284412145614624,2.30251145362854
0.5,500,288,0.1982591152191162,1.8769375085830688
0.5,500,320,0.190088152885437,1.80989408493042
0.5,500,352,0.18109610676765442,1.7601382732391357
0.5,500,384,0.21235068142414093,1.8531724214553833
0.5,500,416,0.18864667415618896,1.9222195148468018
0.5,500,448,0.20804424583911896,2.011744976043701
0.5,500,480,0.24687792360782623,2.2516191005706787
0.5,500,512,0.22532886266708374,1.9717016220092773
0.5,1000,32,0.21543115377426147,1.9189648628234863
0.5,1000,64,0.17268909513950348,1.8674015998840332
0.5,1000,96,0.19945870339870453,1.8541738986968994
0.5,1000,128,0.2266697883605957,1.8942644596099854
0.5,1000,160,0.1711408495903015,1.7622628211975098
0.5,1000,192,0.20265156030654907,1.923424482345581
0.5,1000,224,0.12533774971961975,1.516793131828308
0.5,1000,256,0.10839666426181793,1.40675950050354
0.5,1000,288,0.14913152158260345,1.6490693092346191
0.5,1000,320,0.09502822905778885,1.3360188007354736
0.5,1000,352,0.14214147627353668,1.5179322957992554
0.5,1000,384,0.15163131058216095,1.766506552696228
0.5,1000,416,0.0970725268125534,1.3638302087783813
0.5,1000,448,0.10204926878213882,1.4755198955535889
0.5,1000,480,0.1242922991514206,1.5131731033325195
0.5,1000,512,0.26184943318367004,2.2132768630981445
0.5,2000,32,0.14809979498386383,1.5310065746307373
0.5,2000,64,0.09350597858428955,1.2819480895996094
0.5,2000,96,0.09619913250207901,1.1930971145629883
0.5,2000,128,0.18857701122760773,1.7089005708694458
0.5,2000,160,0.08628368377685547,1.203082799911499
0.5,2000,192,0.0901046171784401,1.1991236209869385
0.5,2000,224,0.058979324996471405,0.9971787929534912
0.5,2000,256,0.06764387339353561,1.1104815006256104
0.5,2000,288,0.05926306173205376,0.9525829553604126
0.5,2000,320,0.05473543703556061,0.9984709024429321
0.5,2000,352,0.0602463074028492,1.1142053604125977
0.5,2000,384,0.10725900530815125,1.332648754119873
0.5,2000,416,0.04998016357421875,0.8551015853881836
0.5,2000,448,0.065496064722538,1.069185733795166
0.5,2000,480,0.05499529093503952,0.9390474557876587
0.5,2000,512,0.09319234639406204,1.5004181861877441
0.5,4000,32,0.13332043588161469,1.5308977365493774
0.5,4000,64,0.0622616782784462,1.0455900430679321
0.5,4000,96,0.06382019817829132,1.0356502532958984
0.5,4000,128,0.0918533056974411,1.3509936332702637
0.5,4000,160,0.04856305569410324,0.9482511878013611
0.5,4000,192,0.04103885963559151,0.856187641620636
0.5,4000,224,0.030751777812838554,0.777266263961792
0.5,4000,256,0.03926261141896248,0.8254423141479492
0.5,4000,288,0.0284434761852026,0.7003858089447021
0.5,4000,320,0.03078382834792137,0.7881183624267578
0.5,4000,352,0.03821695223450661,0.8373140692710876
0.5,4000,384,0.05495145171880722,0.9861205220222473
0.5,4000,416,0.019358692690730095,0.5829466581344604
0.5,4000,448,0.02977658435702324,0.7427862882614136
0.5,4000,480,0.026078984141349792,0.7110564708709717
0.5,4000,512,0.08625729382038116,1.3855494260787964
0.5,6000,32,0.11114311963319778,1.3081541061401367
0.5,6000,64,0.05329766497015953,0.9484974145889282
0.5,6000,96,0.05362413823604584,0.9889165163040161
