nu,n,D,test_mse,interval
3.5,200,32,0.19154533743858337,1.731972336769104
3.5,200,64,0.19407153129577637,1.7635012865066528
3.5,200,96,0.19373846054077148,1.7772396802902222
3.5,200,128,0.19891750812530518,1.8055657148361206
3.5,200,160,0.19844241440296173,1.7783681154251099
3.5,200,192,0.19369247555732727,1.8152714967727661
3.5,200,224,0.1975773125886917,1.8182293176651
3.5,200,256,0.1895165741443634,1.7286783456802368
3.5,200,288,0.19395428895950317,1.7639230489730835
3.5,200,320,0.19572392106056213,1.749504804611206
3.5,200,352,0.19735737144947052,1.741236686706543
3.5,200,384,0.20513823628425598,1.8097058534622192
3.5,200,416,0.20531143248081207,1.8238581418991089
3.5,200,448,0.1895190179347992,1.7103421688079834
3.5,200,480,0.19326534867286682,1.7840454578399658
3.5,200,512,0.19375857710838318,1.7863961458206177
3.5,500,32,0.18586060404777527,1.7480915784835815
3.5,500,64,0.19132287800312042,1.786446452140808
3.5,500,96,0.18470324575901031,1.7495304346084595
3.5,500,128,0.18219555914402008,1.7146998643875122
3.5,500,160,0.19872954487800598,1.7973384857177734
3.5,500,192,0.18436770141124725,1.7888325452804565
3.5,500,224,0.1844705194234848,1.7290496826171875
3.5,500,256,0.1829984039068222,1.7186225652694702
3.5,500,288,0.1872568428516388,1.7641289234161377
3.5,500,320,0.18096403777599335,1.7128294706344604
3.5,500,352,0.18645119667053223,1.7379142045974731
3.5,500,384,0.18200214207172394,1.7250488996505737
3.5,500,416,0.18859347701072693,1.7759968042373657
3.5,500,448,0.18950600922107697,1.765508770942688
3.5,500,480,0.18441922962665558,1.7466559410095215
3.5,500,512,0.18593424558639526,1.7672555446624756
3.5,1000,32,0.18409597873687744,1.7252095937728882
3.5,1000,64,0.19169791042804718,1.7607015371322632
3.5,1000,96,0.18590614199638367,1.7467823028564453
3.5,1000,128,0.1903221160173416,1.7368746995925903
3.5,1000,160,0.18764714896678925,1.7549889087677002
3.5,1000,192,0.18752576410770416,1.7339318990707397
3.5,1000,224,0.19017533957958221,1.7556078433990479
3.5,1000,256,0.18396446108818054,1.7318904399871826
3.5,1000,288,0.1921626478433609,1.7463343143463135
3.5,1000,320,0.18395468592643738,1.7426108121871948
3.5,1000,352,0.18701940774917603,1.7327649593353271
3.5,1000,384,0.18389169871807098,1.729604721069336
3.5,1000,416,0.18433697521686554,1.725905418395996
3.5,1000,448,0.18847720324993134,1.739748477935791
3.5,1000,480,0.1891355663537979,1.7580716609954834
3.5,1000,512,0.19159150123596191,1.7788257598876953
3.5,2000,32,0.1874016672372818,1.7489056587219238
3.5,2000,64,0.18529921770095825,1.759079933166504
3.5,2000,96,0.184206023812294,1.734716773033142
3.5,2000,128,0.1849401295185089,1.7512621879577637
3.5,2000,160,0.18337993323802948,1.7269597053527832
3.5,2000,192,0.18315069377422333,1.7463514804840088
3.5,2000,224,0.1860608160495758,1.7420309782028198
3.5,2000,256,0.18334557116031647,1.7177915573120117
3.5,2000,288,0.18213090300559998,1.7318933010101318
3.5,2000,320,0.18365560472011566,1.7193355560302734
3.5,2000,352,0.18809542059898376,1.7661069631576538
3.5,2000,384,0.18624256551265717,1.7497862577438354
3.5,2000,416,0.18481698632240295,1.7482585906982422
3.5,2000,448,0.18548601865768433,1.7326087951660156
3.5,2000,480,0.1882064938545227,1.7541782855987549
3.5,2000,512,0.18883973360061646,1.7611593008041382
3.5,4000,32,0.18292026221752167,1.7230929136276245
3.5,4000,64,0.18332675099372864,1.7221258878707886
3.5,4000,96,0.18449538946151733,1.7389767169952393
3.5,4000,128,0.18204595148563385,1.7347670793533325
3.5,4000,160,0.19287680089473724,1.7882509231567383
3.5,4000,192,0.18498870730400085,1.7444424629211426
3.5,4000,224,0.1848115473985672,1.7319825887680054
3.5,4000,256,0.18410970270633698,1.7458014488220215
3.5,4000,288,0.1854553520679474,1.772417426109314
3.5,4000,320,0.18384875357151031,1.7338186502456665
3.5,4000,352,0.18429958820343018,1.7371963262557983
